Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2022-03-14,37.06,37.08,35.08,35.39,35.39,5478600,2022,3,14
2022-03-15,35.75,36.98,34.96,35.74,35.74,6629500,2022,3,15
2022-03-16,36.76,37.9,36.21,37.86,37.86,6779300,2022,3,16
2022-03-17,37.85,37.91,36.62,37.79,37.79,4810800,2022,3,17
2022-03-18,37.61,38.68,37.53,38.62,38.62,5562000,2022,3,18
2022-03-19,37.61,38.68,37.53,38.62,38.62,0,2022,3,19
2022-03-20,37.61,38.68,37.53,38.62,38.62,0,2022,3,20
2022-03-21,37.91,38.0,36.22,36.85,36.85,5596700,2022,3,21
2022-03-22,37.14,38.61,36.87,38.25,38.25,4818500,2022,3,22
2022-03-23,37.98,38.74,37.53,38.43,38.43,5154000,2022,3,23
2022-03-24,38.43,39.02,37.12,38.98,38.98,4886400,2022,3,24
2022-03-25,39.0,39.0,37.21,37.51,37.51,3394200,2022,3,25
2022-03-26,39.0,39.0,37.21,37.51,37.51,0,2022,3,26
2022-03-27,39.0,39.0,37.21,37.51,37.51,0,2022,3,27
2022-03-28,37.54,37.83,36.5,37.59,37.59,4280200,2022,3,28
2022-03-29,38.04,40.46,38.04,40.16,40.16,7119000,2022,3,29
2022-03-30,39.75,40.0,38.22,38.65,38.65,3777200,2022,3,30
2022-03-31,38.8,38.96,37.63,38.4,38.4,4736200,2022,3,31
2022-04-01,38.4,38.9,37.24,37.52,37.52,4260500,2022,4,1
2022-04-02,38.4,38.9,37.24,37.52,37.52,0,2022,4,2
2022-04-03,38.4,38.9,37.24,37.52,37.52,0,2022,4,3
2022-04-04,37.93,39.31,37.66,38.96,38.96,3527000,2022,4,4
2022-04-05,38.98,39.13,37.03,37.15,37.15,4198700,2022,4,5
2022-04-06,36.38,36.51,34.89,36.08,36.08,6662400,2022,4,6
2022-04-07,36.09,36.22,33.6,34.61,34.61,6403800,2022,4,7
2022-04-08,34.19,34.5,33.37,33.59,33.59,4705300,2022,4,8
2022-04-09,34.19,34.5,33.37,33.59,33.59,0,2022,4,9
2022-04-10,34.19,34.5,33.37,33.59,33.59,0,2022,4,10
2022-04-11,32.93,34.03,32.35,33.32,33.32,4052400,2022,4,11
2022-04-12,33.62,34.39,33.13,33.45,33.45,3880500,2022,4,12
2022-04-13,33.56,34.94,33.4,34.8,34.8,4059200,2022,4,13
2022-04-14,35.06,36.1,34.77,35.54,35.54,5632500,2022,4,14
2022-04-15,35.06,36.1,34.77,35.54,35.54,0,2022,4,15
2022-04-16,35.06,36.1,34.77,35.54,35.54,0,2022,4,16
2022-04-17,35.06,36.1,34.77,35.54,35.54,0,2022,4,17
2022-04-18,35.29,35.65,34.38,34.61,34.61,3041000,2022,4,18
2022-04-19,34.96,36.43,34.85,36.31,36.31,3967100,2022,4,19
2022-04-20,36.5,36.79,35.61,35.7,35.7,3289300,2022,4,20
2022-04-21,36.59,36.92,33.97,34.11,34.11,6109200,2022,4,21
2022-04-22,34.14,34.57,32.87,33.16,33.16,3653200,2022,4,22
